Date Start Time, Telescope/, Obs. Length, No.
2012-11-02 06:38:13, AO/ALFA, 181, 1
2012-11-04 06:28:43, AO/ALFA, 181, 0
2013-12-09 04:09:52, AO/ALFA, 2702, 0
2013-12-09 05:14:32, AO/ALFA, 1830, 0
2013-12-09 04:55:19, AO/ALFA, 970, 0
2015-05-03 18:55:48, AO/ALFA, 1502, 0
2015-05-05 18:29:07, AO/ALFA, 1002, 0
2015-05-05 19:39:15, AO/ALFA, 1002, 0
2015-05-09 18:10:48, AO/ALFA, 1002, 0
2015-05-09 19:20:56, AO/ALFA, 1002, 0
2015-05-09 19:38:12, AO/ALFA, 425, 0
2015-05-17 17:45:38, AO/ALFA, 1002, 2
2015-05-17 18:58:07, AO/ALFA, 1002, 0
2015-06-02 16:38:47, AO/ALFA, 1002, 2
2015-06-02 17:48:52, AO/ALFA, 1002, 6
2015-06-02 18:09:18, AO/ALFA, 300, 0
