Burst no,MJD,S/Ni,S/Nf,Integrated flux density,Fluence,FWHM
B1,58002.06065,12.6,12.1,0.19 ± 0.02,0.47,2.4 ± 0.2
B2,58002.06079,6,7.1,0.08 ± 0.01,0.36,4.3 ± 0.7
B3,58002.06327,7.9,9.2,0.13 ± 0.02,0.38,2.7 ± 0.4
B4,58002.10494,10.4,10.1,0.13 ± 0.01,0.47,3.5 ± 0.4
B5,58002.13924,8.8,9.9,0.13 ± 0.02,0.43,3.16 ± 0.4
B6,58002.16683,93.7,108.4,1.56 ± 0.2,4.64,2.97 ± 0.03
B7,58002.25854,6.3,9.2,0.12 ± 0.01,0.41,3.2 ± 0.4
B8,58440.83884,12.1,13.1,0.21 ± 0.03,0.49,2.3 ± 0.2
B9,58440.86266,36.1,38,0.58 ± 0.08,1.51,2.57 ± 0.08
B10,58440.92373,22,24.2,0.29 ± 0.04,1.2,4.0 ± 0.2
B11,58440.93681,29.1,31.7,0.30 ± 0.04,2.04,6.7 ± 0.2
B12,58440.98984,11.4,12.3,0.17 ± 0.02,0.53,3.0 ± 0.3
B13,58440.99886,7.4,7.7,0.13 ± 0.02,0.27,2.0 ± 0.2
B14,58441.00758,34.6,40.8,0.58 ± 0.08,1.74,2.97 ± 0.09
B15,58441.00822,7,7.1,0.11 ± 0.01,0.26,2.4 ± 0.4
B16,58441.01258,18.8,24.7,0.38 ± 0.05,0.96,2.5 ± 0.1
B17,58441.01554,11.3,13.8,0.11 ± 0.01,1,8.6 ± 0.8
B18,58441.01805,11.1,11.7,0.15 ± 0.02,0.54,3.5 ± 0.4
B19,58441.01914,18.1,22.6,0.21 ± 0.03,1.46,6.8 ± 0.4
B20,58441.02882,48.4,56.4,0.57 ± 0.08,3.38,5.8 ± 0.1
B21,58441.02882,6.4,8.7,0.08 ± 0.01,0.54,6.3 ± 0.9
B22,58441.02978,84.2,93.5,1.4 ± 0.2,3.84,2.73 ± 0.03
B23,58441.05983,66.7,78.5,1.0 ± 0.1,3.57,3.35 ± 0.05
B24,58441.05999,7.8,8.6,0.10 ± 0.01,0.43,4.1 ± 0.6
B25,58441.06141,14.3,16.8,0.16 ± 0.02,1.07,6.6 ± 0.5
B26,58441.06459,105.2,136.9,1.2 ± 0.1,9.38,7.6 ± 0.1
B27,58441.0674,8.9,11.2,0.10 ± 0.01,0.7,6.4 ± 0.7
B28,58441.10637,9.5,11.5,0.18 ± 0.02,0.42,2.2 ± 0.2
B29,58441.10929,7.3,8.1,0.09 ± 0.01,0.41,4.2 ± 0.6
B30,58441.11248,10.6,13.4,0.21 ± 0.03,0.51,2.4 ± 0.2
B31,58441.12461,14.4,20.4,0.08 ± 0.01,3.14,39 ± 2
B32,58720.20628,77.2,77.4,0.9 ± 0.1,3.13,3.20 ± 0.05
B33,58720.23062,8.9,8.4,0.12 ± 0.01,0.34,2.7 ± 0.3
B34,58735.2308,25.6,28.3,0.49 ± 0.07,1,2.04 ± 0.08
B35,58735.23776,23.8,24.2,0.38 ± 0.05,0.94,2.4 ± 0.1
B36,58735.23963,46.5,59.4,0.8 ± 0.1,2.61,3.13 ± 0.06
