UT Date,UTC time,MJDa,Duration (s),Pointing,*N**b*
2016 May 14,11:51:53,57522.49436,4320,A,0
2016 May 14,13:04:03,57522.54448,4320,B,0
2016 May 14,17:22:26,57522.72391,1440,A,0
2016 May 14,17:46:37,57522.74071,1440,B,0
2016 May 15,17:01:35,57523.70943,1440,A,0
2016 May 15,17:25:46,57523.72623,1440,B,0
2016 May 15,19:02:24,57523.79333,1440,A,0
2016 May 23,16:40:14,57531.69461,1440,B,0
2016 May 23,17:04:25,57531.7114,1440,A,0
2016 May 23,18:41:05,57531.77853,1440,B,0
2016 May 23,19:05:16,57531.79532,1440,A,0
2016 Jul 30,7:35:01,57599.31598,1440,A,0
2016 Jul 30,7:59:10,57599.33275,1440,B,0
2016 Jul 30,9:35:58,57599.39998,1200,A,0
2016 Jul 30,9:56:09,57599.41399,1200,B,0
2016 Aug 20,5:41:42,57620.23729,1200,A,0
2016 Aug 20,6:01:52,57620.2513,1200,B,0
2016 Aug 20,7:22:37,57620.30737,1200,A,0
2016 Aug 20,7:42:46,57620.32137,1200,B,0
2016 Aug 20,9:03:31,57620.37744,1200,A,0
2016 Aug 20,9:23:40,57620.39144,1200,B,3
2016 Sep 10,9:41:48,57641.40403,5898,F,0
2016 Sep 11,9:17:14,57642.38697,10692,F,0
2016 Sep 16b,8:53:32,57647.37051,10200,F,0
2016 Sep 17b,8:52:16,57648.36963,9600,F,0
2016 Sep 18b,8:57:40,57649.37338,9000,F,0
