Pulse,MJD(57991+),TOA(s),DMS/N(pc/cc),Fluence(Jy*μ*s),FluxDensity(mJy),Subband(GHz),Width(ms),*ν*peak(GHz)
1a,0.4099040442,16.2278,600.1,606.1 ± 21.2,763.5 ± 10.5,4.1–8.0,1.43,7.02
2,0.4099297208,18.4463,547.3,25.6 ± 20.1,34.8 ± 8.1,5.6–7.9,2.15,7.05
3,0.4100218264,26.4042,646.1,50.5 ± 16.8,53.9 ± 8.3,5.1–7.5,1.43,7.02
4,0.410069613,30.533,592.9,90.6 ± 22.5,54.1 ± 8.4,5.0–7.5,2.51,6.17
5,0.4115584078,159.1649,615.3,53.0 ± 19.0,45.7 ± 8.4,5.0–7.5,1.79,5.56
6,0.4120856083,204.715,591.2,43.5 ± 14.4,31.8 ± 6.4,5.0–6.4,1.79,5.47
7,0.4123121182,224.2854,607,26.4 ± 14.6,44.9 ± 8.3,5.1–7.5,1.08,7.02
8a,0.41276472,263.3902,592.2,66.4 ± 21.2,97.2 ± 10.5,4.0–7.9,1.43,5.55
9,0.4127648858,263.4046,631.4,67.3 ± 20.6,56.9 ± 9.1,4.0–6.9,1.79,5.45
10,0.4129264759,277.3659,636.6,146.1 ± 29.4,71.9 ± 9.2,4.5–7.5,3.58,5.44
11a,0.4130198711,285.4353,570.7,56.6 ± 10.3,138.0 ± 7.2,6.1–7.9,0.72,7.03
12,0.4133625264,315.0407,589.3,46.8 ± 14.6,44.8 ± 7.2,6.1–7.9,1.43,7.03
13a,0.4134587642,323.3557,585.3,363.2 ± 18.6,452.1 ± 10.6,4.0–8.0,1.08,7.06
14a,0.4137066537,344.7733,590.7,262.8 ± 18.5,342.1 ± 10.6,4.0–8.0,1.08,7.11
15a,0.413837058,356.0402,589.4,264.6 ± 21.5,318.2 ± 10.6,4.0–8.0,1.43,7.03
16,0.4161323109,554.3501,579.3,35.3 ± 20.7,32.8 ± 9.1,4.6–7.5,1.79,7.01
17,0.4161852305,558.9223,527,46.2 ± 18.8,37.5 ± 8.3,5.1–7.5,1.79,7.02
18,0.4162078619,560.8777,581.2,22.9 ± 13.2,38.4 ± 7.5,4.5–6.5,1.08,5.72
19a,0.4164367935,580.6574,557.9,36.2 ± 18.5,68.9 ± 10.6,4.0–7.9,1.08,5.47
20a,0.4166333622,597.6409,574.4,349.2 ± 18.4,563.7 ± 10.5,4.1–8.0,1.08,7.02
21,0.4172693722,652.5922,578,52.6 ± 14.8,73.2 ± 8.4,5.0–7.5,1.08,5.8
22,0.4173807378,662.2142,573,29.5 ± 10.6,72.3 ± 7.4,5.0–6.9,0.72,6.45
23a,0.4177147221,691.0704,559.7,35.2 ± 14.7,54.2 ± 8.4,5.0–7.5,1.08,5.75
24a,0.4178655533,704.1022,575.9,81.1 ± 18.4,136.0 ± 10.5,4.1–8.0,1.08,6.41
25a,0.4186272003,769.9085,579.9,97.8 ± 21.3,128.8 ± 10.5,4.1–8.0,1.43,7.61
26,0.4190286984,804.598,578.6,40.1 ± 15.1,54.1 ± 7.5,5.0–7.0,1.43,5.75
27a,0.4194498856,840.9885,607.8,44.6 ± 13.9,50.8 ± 6.9,5.0–6.7,1.43,5.75
28,0.4194499461,840.9938,532.5,21.3 ± 9.5,40.0 ± 5.4,6.6–7.6,1.08,7.11
29,0.4194499686,840.9957,594.5,36.2 ± 12.0,49.6 ± 6.8,5.1–6.7,1.08,6.22
30,0.4194626399,842.0905,564.6,25.6 ± 17.0,39.0 ± 7.5,4.5–6.5,1.79,5.72
31,0.4194628627,842.1098,546.2,29.5 ± 15.0,29.3 ± 7.4,4.6–6.5,1.43,6.23
32,0.4208678576,963.5013,566.9,28.6 ± 12.3,39.1 ± 6.1,6.5–7.8,1.43,7.11
33a,0.4212129047,993.3134,566.2,60.7 ± 15.1,126.8 ± 10.6,4.0–8.0,0.72,7.11
34a,0.4217126673,1036.4929,565.7,78.5 ± 15.1,185.8 ± 10.6,4.0–7.9,0.72,5.67
35,0.422121351,1071.8031,595.8,68.2 ± 17.0,64.0 ± 7.5,4.5–6.5,1.79,5.72
36,0.4221369638,1073.1521,596,39.7 ± 18.7,55.7 ± 8.2,5.5–7.9,1.79,6.9
37a,0.4229394568,1142.4875,582.4,131.2 ± 23.8,214.7 ± 10.5,4.1–8.0,1.79,6.2
38,0.4230051411,1148.1626,579.3,26.3 ± 26.3,35.5 ± 10.6,4.0–8.0,2.15,5.77
39a,0.4242706565,1257.5031,629.3,53.0 ± 16.8,45.6 ± 7.4,4.6–6.5,1.79,6.23
40,0.4245389367,1280.6826,570,17.4 ± 9.0,31.2 ± 5.1,4.6–5.5,1.08,5.25
41,0.4259189384,1399.9147,653.7,28.7 ± 12.7,24.5 ± 5.1,5.1–6.0,2.15,5.75
42,0.4263938242,1440.9448,622.9,67.5 ± 18.3,56.1 ± 7.4,5.1–7.0,2.15,6.17
43a,0.4265525154,1454.6557,563.6,156.5 ± 15.1,392.2 ± 10.5,4.1–8.0,0.72,6.17
44,0.4283922705,1613.6106,618.4,74.6 ± 22.0,57.4 ± 8.2,5.5–7.9,2.51,7.14
